node_id,speed_lmt,lat,lon,n_zdjec,n_wykrytych,avg_yolo_conf,existence_confidence_score
1036388149,30,42.73013,23.28718,0,0,,0.0
863567875,40,42.75617,23.27079,0,0,,0.0
1211718786,40,42.80614,23.22005,0,0,,0.0
737634977,30,42.73002,23.29345,0,0,,0.0
1173058959,50,42.77163,23.29303,0,0,,0.0
969350445,30,42.78871,23.27258,0,0,,0.0
1133384061,50,42.78514,23.24058,0,0,,0.0
1109411892,30,42.81937,23.25322,0,0,,0.0
1235273105,30,42.73345,23.29844,0,0,,0.0
1256460359,30,42.78613,23.27345,0,0,,0.0
875641941,20,42.75985,23.20559,0,0,,0.0
875623154,30,42.809,23.20856,0,0,,0.0
1108161662,70,42.74093,23.25231,0,0,,0.0
1164363358,40,42.81352,23.21518,0,0,,0.0
1164660448,50,42.74974,23.22571,0,0,,0.0
1036389160,30,42.73089,23.28654,0,0,,0.0
1265804052,30,42.81248,23.19729,0,0,,0.0
908737055,40,42.81064,23.19356,0,0,,0.0
1101465459,30,42.80772,23.19963,0,0,,0.0
1236600743,30,42.73431,23.28684,0,0,,0.0
880266046,40,42.81259,23.25516,0,0,,0.0
1269513517,30,42.75568,23.21063,0,0,,0.0
964144070,40,42.75491,23.21191,0,0,,0.0
737664045,50,42.80112,23.26425,0,0,,0.0
1164345636,80,42.74493,23.25555,0,0,,0.0
737512741,30,42.77409,23.24405,0,0,,0.0
1240172685,50,42.79967,23.22322,0,0,,0.0
1272048945,50,42.77096,23.27464,0,0,,0.0
1133519590,30,42.82224,23.24712,0,0,,0.0
